place_id,name,brand,cre_id,category,address_street,x,y
2039,"ESTACION DE SERVICIO CALAFIA, S.A. DE C.V.",PEMEX,PL/658/EXP/ES/2015,GAS_STATION,Boulevard Insurgentes No. 1910,-116.9214,32.47641
2040,"DIGEPE, S.A. DE C.V. (07356)",PEMEX,PL/902/EXP/ES/2015,GAS_STATION,Carretera Ixmiquilpan - Palmillas Km 58.5 Huichapan,-99.74484,20.3037
2041,"Diaz Gas, S.A. de C.V.",PEMEX,PL/760/EXP/ES/2015,GAS_STATION,Avenida Adolfo López Mateos No. 1604,-106.4514,31.71947
2042,"COMBU-EXPRESS, S.A. DE C.V.",PEMEX,PL/825/EXP/ES/2015,GAS_STATION,Ricardo Flores Magón No. 950,-103.3042,20.71413
2043,"PETROMAX, S.A. DE C.V.",PEMEX,PL/585/EXP/ES/2015,GAS_STATION,Prolongación Rio Purificación No. 800 Esquina Oscar Alexander,-98.29977,26.03787
2044,"ESTACION RAEL, S. DE R.L. DE C.V.",PEMEX,PL/842/EXP/ES/2015,GAS_STATION,Calle Manuel Gutiérrez Nájera No. 3102,-117.0715,32.51342
2045,MULTISERVICIOS LA PILARICA SA DE CV,PEMEX,PL/371/EXP/ES/2015,GAS_STATION,Carretera Al 20 de Noviembre No. 3005,-108.9685,25.7558
2046,"PETROMAX, S.A. DE C.V.",PEMEX,PL/439/EXP/ES/2015,GAS_STATION,Carretera a Colombia No. 400,-100.2918,25.77202
2047,"ESTACION RAEL, S. DE R.L. DE C.V.",PEMEX,PL/860/EXP/ES/2015,GAS_STATION,Avenida Rayón No. 876,-116.6079,31.86546
2048,INMOBILIARIA ESCOGAS SA DE CV,PEMEX,PL/897/EXP/ES/2015,GAS_STATION,Carretera Libre Tijuana - Ensenada No. 3109 Playa Encantada Playas de Rosarito,-117.0457,32.31202
2049,"PETROMAX, S.A. DE C.V.",PEMEX,PL/561/EXP/ES/2015,GAS_STATION,Avenida Pablo Livas No. 101,-100.184,25.65562
2050,AUTOSERVICIO BERLANGA S.A. DE C.V.,PEMEX,PL/797/EXP/ES/2015,GAS_STATION,Boulevard Harold R. Pape No. 2103-A,-101.4189,26.92554
2051,"PETROMAX, S.A. DE C.V.",PEMEX,PL/583/EXP/ES/2015,GAS_STATION,Avenida Lauro Villar No. 7110 Esquina Los Cedros,-97.44485,25.83842
